Year,Canada,China,Mexico,United Kingdom,United States,India,Japan,Spain,Kenya,Ghana,Nigeria,Saudi Arabia,Singapore
1998,20875.2483089147,825.547957082076,5038.62977470959,26281.0477516525,32949.1977640346,421.82159006749197,30969.7380327708,15534.359888909099,476.718513684413,416.326248548834,273.86979724431,7180.15043990568,21824.107820653302
1999,22109.603986218597,869.654882082718,5722.1221385730505,26675.9155954667,34620.928899082595,451.089144230562,35004.0612719044,15859.086025783601,425.593592101591,419.88555088473686,299.356765948378,7728.67638802958,21795.8235894758
2000,24031.951201788706,954.552291730423,6649.71653421574,26400.656438269598,36449.855115534905,452.41358466967597,37299.6441291293,14787.756063671,408.98186827212487,264.702576168061,377.50026934676805,8808.87536666471,23792.530279951603
2001,23573.750065110602,1047.4778628689,6952.28903930479,25980.22037934729,37273.6181034176,460.826199948675,32716.4186748897,15359.1084396669,407.5540065516809,275.47237205944,350.260182193982,8315.739301992131,21577.1407995835
2002,23995.016326533798,1141.75764437513,7023.78727594692,28301.2083322425,38166.0378407812,480.621442166669,31235.588184391407,17019.535413660502,402.17031549401605,311.61682502776796,457.39704755357803,8317.90857478937,22016.5691801331
2003,28026.006013044702,1280.60285480797,6673.16697380407,32575.091962619903,39677.1983481058,557.897365886494,33690.9377297154,21495.7074076474,444.233631050959,375.880704460924,510.296295281735,9186.310388435391,23573.7769924641
2004,31830.011871330298,1498.1737956253198,7115.12176872717,38305.8726859929,41921.8097617892,640.6005221609449,36441.5044939422,24918.645841999398,467.378752493262,426.159234240606,645.763871178843,10756.0162185009,27405.0345758398
2005,36028.2324902754,1740.0967263801099,7893.968233756529,40047.905967007006,44307.9205848603,729.000727040133,35781.1700525965,26510.717453342597,530.082157850254,501.72407455065996,804.005995170227,13273.653498638401,29869.5878981096
2006,40243.5522837141,2082.18336250102,8666.33535331064,42534.3062613449,46437.067117306506,816.733776198888,34075.978949411096,28482.6094833461,711.7211636716362,929.726628584054,1014.7347416177099,14826.916698381101,33579.5924481463
2007,44328.4753768925,2673.2941909354,9219.817782852859,48428.1574527987,48061.5376613353,1050.0248011225099,34033.701254936095,32709.4010383771,857.925688654194,1099.0223125795699,1131.1476946252699,15947.405786423898,39223.5733268202
2008,46400.441845675596,3441.221354570209,9578.570699611959,45195.156927388096,48401.4273403899,1022.5775919532699,37865.6180313874,35578.736189717005,938.571762345224,1234.0799001109401,1376.85744878293,19436.8571597589,39721.015350612004
2009,40764.14134688991,3800.4745416127703,7647.6847472833915,37166.2759654944,47001.555349681796,1124.51944550849,39322.6047284114,32333.4661042498,942.7431464663499,1095.50323245528,1091.96852722446,15655.083367533798,38577.349378883104
2010,47463.631192364905,4514.94052013381,8851.35051405824,38292.871131358304,48374.05645659661,1387.88008401297,42909.2341523544,30737.832270838506,991.850545143199,1323.09914056856,2314.96353665347,18753.981233207902,46569.9730490708
2011,52086.53352462701,5574.18709336902,9715.11259636147,41020.3769643089,49781.357490134,1471.65843924074,46203.7095189836,31832.2380807085,1012.8797726672999,1587.1908727476098,2514.14862151929,23256.0956126438,53121.2310437994
2012,52733.473689010185,6264.64387793993,9703.371017178159,41294.5148008666,51456.658728035305,1449.66487452505,46679.26543223031,28647.835242689198,1184.92325604363,1641.82592182439,2739.8521890390602,24883.1897146534,54577.1373654638
2013,52305.2583938465,6991.85386564447,10172.7225491296,42309.0399221273,52980.04362631191,1455.10219142081,38633.7080591795,29370.6638674201,1257.20283787002,1827.1013677999301,2979.8346788579493,24646.020873026402,55979.75704911281
2014,50235.3855086004,7590.01644054361,10325.646065875899,46331.9774103502,54629.495167891204,1581.5107030877402,36194.4156134427,29767.3515599958,1358.26221855626,1441.6364531116599,3203.29682449432,24160.958544678106,56284.5784053366
